#ORDER#,#TIMESN#,#SWITCH_MODEL#,#CFGTEMPLET#,#SYSTEM-SOFTWARE#,#SYSTEM-PAT#,#ESN#,#MAC-ADDRESS#,#SYSNAME#,#MGMT_IP#,#MGMT_NETAMST#,#VLAN01_ID#,#VLAN01_IP#,#VLAN01_NETMAST#,#NTP_IP#,#LASIP#,$VLAN**_ID$,$VLAN**_IP$,$VLAN**_NETMAST$
19,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A578,ATC_ZSCN_FEIFU_SW_C,172.30.1.15,255.255.255.0,30,195.28.4.245,255.255.255.0,172.30.1.118,172.30.1.237,28,10.1.10.19,255.255.255.18
20,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A579,ATC_ZSCN_MRDR_SW_A,172.30.1.16,255.255.255.0,50,196.28.4.246,255.255.255.0,172.30.1.118,172.30.1.237,29,10.1.10.20,255.255.255.19
21,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A580,ATC_ZSCN_MRDR_SW_B,172.30.1.17,255.255.255.0,50,197.28.4.246,255.255.255.0,172.30.1.118,172.30.1.237,30,10.1.10.21,255.255.255.20
22,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A581,ATC_ZSCN_BRDR_SW_A,172.30.1.18,255.255.255.0,50,196.28.4.247,255.255.255.0,172.30.1.118,172.30.1.237,31,10.1.10.22,255.255.255.21
23,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A582,ATC_ZSCN_BRDR_SW_B,172.30.1.19,255.255.255.0,50,197.28.4.247,255.255.255.0,172.30.1.118,172.30.1.237,32,10.1.10.23,255.255.255.22
24,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A583,ATC_ZSCN_IN_SW_A,172.30.1.20,255.255.255.0,50,198.28.4.241,255.255.255.0,172.30.1.118,172.30.1.237,33,10.1.10.24,255.255.255.23
25,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A584,ATC_ZSCN_IN_SW_B,172.30.1.21,255.255.255.0,50,199.28.4.241,255.255.255.0,172.30.1.118,172.30.1.237,34,10.1.10.25,255.255.255.24
26,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A585,ATC_ZSCN_OUT_SW_A,172.30.1.22,255.255.255.0,50,198.28.4.200,255.255.255.0,172.30.1.118,172.30.1.237,35,10.1.10.26,255.255.255.25
27,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A586,ATC_ZSCN_OUT_SW_B,172.30.1.23,255.255.255.0,50,199.28.4.200,255.255.255.0,172.30.1.118,172.30.1.237,36,10.1.10.27,255.255.255.26
28,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A587,ZF_ZSCN_IN_SW_A,172.30.1.27,255.255.255.0,60,172.30.100.251,255.255.255.0,172.30.1.118,172.30.1.237,37,10.1.10.28,255.255.255.27
29,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A588,ZF_ZSCN_IN_SW_B,172.30.1.28,255.255.255.0,60,172.30.200.251,255.255.255.0,172.30.1.118,172.30.1.237,38,10.1.10.29,255.255.255.28
30,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A589,ZF_ZSCN_SYS_SW,172.30.1.29,255.255.255.0,60,192.168.132.254,255.255.255.0,172.30.1.118,172.30.1.237,39,10.1.10.30,255.255.255.29
31,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A590,ZF_ZSCN_OUT_SW_A,172.30.1.31,255.255.255.0,60,172.31.100.251,255.255.255.0,172.30.1.118,172.30.1.237,40,10.1.10.31,255.255.255.30
32,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A591,ZF_ZSCN_OUT_SW_B,172.30.1.32,255.255.255.0,60,172.31.200.251,255.255.255.0,172.30.1.118,172.30.1.237,41,10.1.10.32,255.255.255.31
